Title,Link,Organization,Main Research Field,Application Deadline (ISO),Application Deadline (Display)
Master Thesis Projects in the Areas of Security and Privacy,https://exjobb.liu.se/en-US/details/?id=ddbf4a8e-0080-ef11-a81c-000d3ad95117,ADIT @ IDA @ LiU,,2025-02-16,2/16/2025
Master Thesis Projects in the Areas of Social Media Dynamics and Fake News,https://exjobb.liu.se/en-US/details/?id=221ef5da-0080-ef11-a81c-000d3ad95117,ADIT @ IDA @ LiU,,2025-02-16,2/16/2025
Master Thesis Projects in the Areas of Image and Video Analysis,https://exjobb.liu.se/en-US/details/?id=dd857b15-0180-ef11-a81c-000d3ad95117,ADIT @ IDA @ LiU,,2025-02-16,2/16/2025
Hållbar stadsutveckling – Om att anta innovativ infrastruktur i stadsförnyelse,https://exjobb.liu.se/en-US/details/?id=5fe7ad6b-4a82-ef11-a81c-000d3ab2d51f,Industriell miljöteknik/IEI,Energi- och miljöteknik,2025-02-02,2/2/2025
Lokalt anpassat beslutstöd för återvinning av slaggrus i vägkonstruktioner,https://exjobb.liu.se/en-US/details/?id=4b8152b6-4b82-ef11-a81c-000d3ab2d51f,Industriell miljöteknik/IEI,,2025-02-02,2/2/2025
Vad kostar egentligen ett hål i gatan?,https://exjobb.liu.se/en-US/details/?id=17e442df-7984-ef11-a81c-002248a41503,Industriell miljöteknik/IEI,Energi- och miljöteknik,2025-02-02,2/2/2025
Eye tracking för XR-headset,https://exjobb.liu.se/en-US/details/?id=2f4e6d05-4d70-ef11-a81c-000d3ad95117,"FOI, Totalförsvarets forskningsinstitut",Datateknik,2025-02-01,2/1/2025
Taktisk display i XR-miljö,https://exjobb.liu.se/en-US/details/?id=44c0b2e0-4d70-ef11-a81c-000d3ad95117,"FOI, Totalförsvarets forskningsinstitut",Datateknik,2025-02-01,2/1/2025
Utveckling av simulatorlösning i XR-miljö,https://exjobb.liu.se/en-US/details/?id=6598ff77-4e70-ef11-a81c-000d3ad95117,"FOI, Totalförsvarets forskningsinstitut",Datateknik,2025-02-01,2/1/2025
Ergonomianpassning för XR-simulator,https://exjobb.liu.se/en-US/details/?id=dfe6f126-4f70-ef11-a81c-000d3ad95117,"FOI, Totalförsvarets forskningsinstitut",Datateknik,2025-02-01,2/1/2025
